1 	 1 	 3.924e-05 
2 	 1 	 2.294e-05 
2 	 2 	 1.977e-05 
3 	 1 	 2.212e-05 
3 	 2 	 2.241e-05 
3 	 3 	 2.170e-05 
4 	 1 	 2.237e-05 
4 	 2 	 5.426e-05 
4 	 3 	 4.179e-05 
4 	 4 	 2.162e-05 
5 	 1 	 3.951e-05 
5 	 2 	 2.321e-05 
5 	 3 	 4.249e-05 
5 	 4 	 4.224e-05 
5 	 5 	 4.224e-05 
6 	 1 	 3.687e-05 
6 	 2 	 2.568e-05 
6 	 3 	 2.842e-05 
6 	 4 	 2.729e-05 
6 	 5 	 2.686e-05 
6 	 6 	 2.711e-05 
7 	 1 	 2.434e-05 
7 	 2 	 2.778e-05 
7 	 3 	 3.282e-05 
7 	 4 	 3.382e-05 
7 	 5 	 3.427e-05 
7 	 6 	 3.470e-05 
7 	 7 	 3.504e-05 
8 	 1 	 3.443e-05 
8 	 2 	 3.488e-05 
8 	 3 	 3.769e-05 
8 	 4 	 4.681e-05 
8 	 5 	 5.193e-05 
8 	 6 	 5.099e-05 
8 	 7 	 5.011e-05 
8 	 8 	 5.033e-05 
9 	 1 	 7.977e-05 
9 	 2 	 6.990e-05 
9 	 3 	 5.228e-05 
9 	 4 	 6.299e-05 
9 	 5 	 1.337e-04 
9 	 6 	 7.892e-05 
9 	 7 	 7.945e-05 
9 	 8 	 8.039e-05 
9 	 9 	 9.130e-05 
10 	 1 	 2.857e-05 
10 	 2 	 6.762e-05 
10 	 3 	 6.972e-05 
10 	 4 	 1.170e-04 
10 	 5 	 1.320e-04 
10 	 6 	 1.405e-04 
10 	 7 	 1.435e-04 
10 	 8 	 1.426e-04 
10 	 9 	 1.476e-04 
10 	 10 	 1.460e-04 
11 	 1 	 3.234e-05 
11 	 2 	 1.180e-04 
11 	 3 	 1.466e-04 
11 	 4 	 1.434e-04 
11 	 5 	 2.397e-04 
11 	 6 	 2.315e-04 
11 	 7 	 2.631e-04 
11 	 8 	 2.651e-04 
11 	 9 	 2.730e-04 
11 	 10 	 2.786e-04 
12 	 1 	 9.873e-05 
12 	 2 	 8.696e-05 
12 	 3 	 2.077e-04 
12 	 4 	 3.433e-04 
12 	 5 	 3.651e-04 
12 	 6 	 4.765e-04 
12 	 7 	 4.993e-04 
12 	 8 	 5.644e-04 
12 	 9 	 5.862e-04 
12 	 10 	 5.368e-04 
13 	 1 	 1.043e-04 
13 	 2 	 1.208e-04 
13 	 3 	 2.610e-04 
13 	 4 	 6.215e-04 
13 	 5 	 8.304e-04 
13 	 6 	 7.776e-04 
13 	 7 	 9.702e-04 
13 	 8 	 1.104e-03 
13 	 9 	 1.057e-03 
13 	 10 	 1.187e-03 
14 	 1 	 1.207e-04 
14 	 2 	 2.881e-04 
14 	 3 	 5.361e-04 
14 	 4 	 6.602e-04 
14 	 5 	 1.202e-03 
14 	 6 	 1.604e-03 
14 	 7 	 1.966e-03 
14 	 8 	 2.276e-03 
14 	 9 	 2.125e-03 
14 	 10 	 2.345e-03 
15 	 1 	 2.048e-04 
15 	 2 	 3.127e-04 
15 	 3 	 6.204e-04 
15 	 4 	 1.416e-03 
15 	 5 	 2.117e-03 
15 	 6 	 3.168e-03 
15 	 7 	 3.456e-03 
15 	 8 	 4.131e-03 
15 	 9 	 4.572e-03 
15 	 10 	 4.626e-03 
16 	 1 	 2.431e-04 
16 	 2 	 1.089e-03 
16 	 3 	 2.563e-03 
16 	 4 	 2.259e-03 
16 	 5 	 2.203e-03 
16 	 6 	 7.727e-03 
16 	 7 	 6.043e-03 
16 	 8 	 8.245e-03 
16 	 9 	 8.883e-03 
16 	 10 	 9.278e-03 
17 	 1 	 3.693e-04 
17 	 2 	 1.079e-03 
17 	 3 	 3.910e-03 
17 	 4 	 4.500e-03 
17 	 5 	 7.528e-03 
17 	 6 	 7.511e-03 
17 	 7 	 1.284e-02 
17 	 8 	 1.695e-02 
17 	 9 	 1.793e-02 
17 	 10 	 1.820e-02 
18 	 1 	 2.463e-04 
18 	 2 	 2.040e-03 
18 	 3 	 5.989e-03 
18 	 4 	 7.031e-03 
18 	 5 	 1.214e-02 
18 	 6 	 1.184e-02 
18 	 7 	 2.572e-02 
18 	 8 	 3.664e-02 
18 	 9 	 3.153e-02 
18 	 10 	 3.745e-02 
19 	 1 	 5.662e-04 
19 	 2 	 2.918e-03 
19 	 3 	 8.229e-03 
19 	 4 	 1.056e-02 
19 	 5 	 1.660e-02 
19 	 6 	 2.679e-02 
19 	 7 	 4.395e-02 
19 	 8 	 5.550e-02 
19 	 9 	 7.024e-02 
19 	 10 	 7.369e-02 
20 	 1 	 4.409e-03 
20 	 2 	 7.517e-03 
20 	 3 	 6.295e-03 
20 	 4 	 5.802e-02 
20 	 4 	 3.741e-02 
20 	 5 	 2.196e-02 
20 	 6 	 3.329e-02 
20 	 7 	 8.625e-02 
20 	 8 	 1.002e-01 
20 	 9 	 1.293e-01 
20 	 10 	 1.559e-01 
21 	 1 	 2.017e-03 
21 	 2 	 1.788e-02 
21 	 3 	 9.532e-03 
21 	 4 	 6.132e-02 
21 	 5 	 6.278e-02 
21 	 6 	 5.918e-02 
21 	 7 	 9.641e-02 
21 	 8 	 2.377e-01 
21 	 9 	 1.974e-01 
21 	 10 	 2.401e-01 
22 	 1 	 5.127e-03 
22 	 2 	 1.657e-02 
22 	 3 	 3.085e-02 
22 	 4 	 1.985e-01 
22 	 5 	 2.997e-01 
22 	 6 	 3.530e-01 
22 	 7 	 2.877e-01 
22 	 8 	 2.680e-01 
22 	 9 	 4.389e-01 
22 	 10 	 4.968e-01 
23 	 1 	 1.035e-02 
23 	 2 	 1.999e-02 
23 	 3 	 2.837e-02 
23 	 4 	 3.825e-01 
23 	 5 	 3.171e-01 
23 	 6 	 3.191e-01 
23 	 7 	 3.783e-01 
23 	 8 	 1.074e+00 
23 	 9 	 7.934e-01 
23 	 10 	 1.063e+00 
24 	 1 	 1.114e-02 
24 	 2 	 6.955e-02 
24 	 3 	 8.903e-02 
24 	 4 	 5.130e-01 
24 	 5 	 6.188e-01 
24 	 6 	 6.473e-01 
